regime,volatility,delta,dte,position_size,take_profit,expected_return,sharpe_ratio,win_rate,assignment_prob,monthly_premium
Low,0.4,0.1,21,0.05,0.25,-0.0028104386227157207,-0.140521931135786,0.8680547945205479,0.13194520547945207,0.005482582276160824
Low,0.4,0.1,21,0.05,0.5,-0.0020965613480395033,-0.10482806740197514,0.8680547945205479,0.13194520547945207,0.005482582276160824
Low,0.4,0.1,21,0.05,0.75,-0.001382684073363286,-0.06913420366816429,0.8680547945205479,0.13194520547945207,0.005482582276160824
Low,0.4,0.1,21,0.05,1.0,-0.0006688067986870685,-0.03344033993435342,0.8680547945205479,0.13194520547945207,0.005482582276160824
Low,0.4,0.1,21,0.1,0.25,-0.0056208772454314415,-0.140521931135786,0.8680547945205479,0.13194520547945207,0.005482582276160824
Low,0.4,0.1,21,0.1,0.5,-0.004193122696079007,-0.10482806740197514,0.8680547945205479,0.13194520547945207,0.005482582276160824
Low,0.4,0.1,21,0.1,0.75,-0.002765368146726572,-0.06913420366816429,0.8680547945205479,0.13194520547945207,0.005482582276160824
Low,0.4,0.1,21,0.1,1.0,-0.001337613597374137,-0.03344033993435342,0.8680547945205479,0.13194520547945207,0.005482582276160824
Low,0.4,0.1,21,0.15,0.25,-0.008431315868147162,-0.14052193113578604,0.8680547945205479,0.13194520547945207,0.005482582276160824
Low,0.4,0.1,21,0.15,0.5,-0.006289684044118509,-0.10482806740197514,0.8680547945205479,0.13194520547945207,0.005482582276160824
Low,0.4,0.1,21,0.15,0.75,-0.004148052220089858,-0.0691342036681643,0.8680547945205479,0.13194520547945207,0.005482582276160824
Low,0.4,0.1,21,0.15,1.0,-0.002006420396061205,-0.03344033993435342,0.8680547945205479,0.13194520547945207,0.005482582276160824
Low,0.4,0.1,21,0.2,0.25,-0.011241754490862883,-0.140521931135786,0.8680547945205479,0.13194520547945207,0.005482582276160824
Low,0.4,0.1,21,0.2,0.5,-0.008386245392158013,-0.10482806740197514,0.8680547945205479,0.13194520547945207,0.005482582276160824
Low,0.4,0.1,21,0.2,0.75,-0.005530736293453144,-0.06913420366816429,0.8680547945205479,0.13194520547945207,0.005482582276160824
Low,0.4,0.1,21,0.2,1.0,-0.002675227194748274,-0.03344033993435342,0.8680547945205479,0.13194520547945207,0.005482582276160824
Low,0.4,0.1,21,0.25,0.25,-0.014052193113578602,-0.140521931135786,0.8680547945205479,0.13194520547945207,0.005482582276160824
Low,0.4,0.1,21,0.25,0.5,-0.010482806740197515,-0.10482806740197514,0.8680547945205479,0.13194520547945207,0.005482582276160824
Low,0.4,0.1,21,0.25,0.75,-0.00691342036681643,-0.06913420366816429,0.8680547945205479,0.13194520547945207,0.005482582276160824
Low,0.4,0.1,21,0.25,1.0,-0.0033440339934353424,-0.03344033993435342,0.8680547945205479,0.13194520547945207,0.005482582276160824
Low,0.4,0.1,30,0.05,0.25,-0.0029015034477985987,-0.1450751723899299,0.8715068493150685,0.12849315068493153,0.004587057432647967
Low,0.4,0.1,30,0.05,0.5,-0.0023018556521854547,-0.11509278260927272,0.8715068493150685,0.12849315068493153,0.004587057432647967
Low,0.4,0.1,30,0.05,0.75,-0.0017022078565723101,-0.08511039282861549,0.8715068493150685,0.12849315068493153,0.004587057432647967
Low,0.4,0.1,30,0.05,1.0,-0.0011025600609591653,-0.05512800304795825,0.8715068493150685,0.12849315068493153,0.004587057432647967
Low,0.4,0.1,30,0.1,0.25,-0.005803006895597197,-0.1450751723899299,0.8715068493150685,0.12849315068493153,0.004587057432647967
Low,0.4,0.1,30,0.1,0.5,-0.0046037113043709095,-0.11509278260927272,0.8715068493150685,0.12849315068493153,0.004587057432647967
